,Comment
763,"vir twitter ver sobre jogo"
764,"twitter existir ir coisas tudo ainda todo mundo"
765,"venho twitter falar coisas legais reclamar"
766,"oq fazer falar merda twitter falar merda twitter falar merda twitter"
767,"falando tanto quanto homem ver vim"
768,"ver facebook ver instagram ver twitter ver whatsapp celular"
769,"melhor forma sentir triste vir twitter ver pessoas"
770,"ir tirar olhar"
771,"manda twitter fazer please"
772,"gente boa queria ser amiga conversar todos dias fazer twitter falar sobre tudo"
773,"ta vir twitter fazer sobre"
774,"bom"
775,"boa ver vir twitter ver"
776,"sim mundo ter falar"
777,"sonho ser twitter ter bom dizer"
778,"preparando psicologicamente twitter falar horas dia bbb"
779,"dando tanta kkkkkkk sempre amiga sempre agr"
780,"gente vem twitter falar todo mundo todas pessoas todos"
781,"sei gente ter vem twitter dar"
782,"colocar twitter deixar conversar novo"
783,"mexer twitter ver ver ver tentar agr jogar vida resumida"
784,"vim twitter ver memes enem"
785,"pessoa segue vir twitter ver posto ser sei"
786,"insta wpp"
787,"vi entrando site enem vim twitter ver memes kkk"
788,"twitter ficar amor agr ver wpp falta celular"
789,"sociais sempre obrigado pedir twitter fazer"
790,"consigo entrar site venho twitter ver tweets sobre enem"
791,"mil coisas fazer pessoa vim twitter ver memes sobre enem"
792,"assim ainda vir twitter falar"
793,"segue vem twitter fazer tomar"
794,"claro vim twitter ver memes enem sei gente"
795,"medo vem twitter ver tag ver"
796,"venho aqui twitter falar sozinha"
797,"acordei tava"
798,"veio twitter falar merda kkkkkkkkk pouco"
799,"twitter dar favor"
800,"mano bosta vir twitter ver pena"
801,"saudades mexer twitter fazer amigos outro lado"
802,sozinha
803,"bom"
804,"todo mundo vir twitter falar sozinha"
805,"todo mundo vir twitter falar sozinha"
806,"achei ia ia ver twitter fazer tipo coisa"
807,"boa noite vem twitter ver sinto fotos"
808,"pensar chegar tempo entrar twitter ficar aqui madrugada tudo"
809,"dia twitter falar bem mim ficar"
810,"bom"
811,"desse povo ficar vindo aqui twitter ficar vendo falo"
812,"achei algo importante fazer vir twitter falar"
813,"vem aqui twitter ver amor"
814,"causa todo"
815,"galera boa enem vir aqui twitter ficar viu vamo"
816,"sigo todos volta twitter deixar"
817,"coisa faz vim twitter falar"
818,"quero galera vim aqui twitter falar"
819,"tudo igual dps aqui twitter falar quer homem bom"
820,"motivo twitter querer"
821,"agora twitter ver"
822,"normal gente nunca entrar twitter deixar fazer"
823,"vem twitter ver postar stories"
824,"fez merda ainda vir twitter fazer"
825,"dia dia todo vindo aqui twitter falar oque comigo reclamando falando triste"
826,"pode twitter falar tanta bosta"
827,"tipo criar conta pessoal twitter seguir conversar nada maioria diz tao"
828,"saudades chegar entrar twitter ver ficar"
829,"gente twitter fazer whatsapp gente"
830,"tava tava"
831,"deixar mundo vir"
832,"venho twitter ver madrugada lembro"
833,"venho twitter falar deve ser sei aqui ta"
834,"dizer fazer todas"
835,"xingar twitter fazer chamar"
836,"sei bem fala nada deixa twitter ficar sai todo mundo ver"
837,"normal todas whatsapp vir aqui twitter falar gosta"
838,"fechar twitter entrar whatsapp ver todas fechar whatsapp abrir twitter"
839,"sigo desde discurso sobre twitter ter muitos daqui tempo site etc"
840,"twitter falar tudo oq consigo dizer"
841,"diz vim twitter ver oque posto rs"
842,"ver twitter fazer"
843,"perceber twitter falar tudo passa vida antes"
844,"porra ainda fica vindo twitter falar quer oq"
845,"criar novo twitter apagar bom acho"
846,"odeio vem twitter falar vida ta boa feliz gente twitter gente vida"
847,"twitter ter site"
848,"qualquer forma twitter fazer"
849,"twitter porra oq acontece aq"
850,"twitter falar sozinha outros gente alheia"
851,"tentar usar twitter falar pouco coisas comigo foto xd"
852,"queria desse twitter falar mim"
853,"votar"
854,"gente povo twitter entrar"
855,"meio twitter ver"
856,"quero muitos terra twitter falar outra rede social"
857,"favor ir coisas antes vir twitter falar ganhar outros"
858,"twitter ver"
859,"vem twitter falar merda"
860,"veio twitter falar sabia jogar"
861,"importante votar tag twitter fazer votar tempo"
862,"pode excluir facebook wpp dar insta twitter apagar fotos"
863,"medo twitter ficar"
864,"dormir consegue vem twitter falar dormir"
865,"chegou follow li fiquei pensando twitter falar"
866,"agora twitter falar"
867,"pessoas vim twitter dar moral vida vezes quiser vida"
868,"ruim twitter ficar pode aqui todo mundo saber ai"
869,"twitter ver"
870,"dar aqui mana uso celular mexer twitter falar"
871,"ajudar twitter entrar hahaha"
872,"vamo todo mundo twitter fazer ver quanto tempo cai site"
873,"prefiro ter seguidores seguir pouco seguir gente ser twitter ficar t"
874,"melhor dizendo t"
875,"tbm sabia twitter falar ai tempo assim"
876,"vem aqui twitter dar moral gente"
877,"demais twitter seguir melhor"
878,"chato putaria aqui tt mundo quer ver pronto twitter fazer oq"
879,"twitter dar todo"
880,"olhar twitter existir"
881,"pedir twitter dar twitter oficial"
882,"bom"
883,"odeio tipo pessoa escolhe ser escolhe vir twitter falar escolhe mandar motivo"
884,"vem twitter falar merda vem"
885,"vem twitter falar merda deixa gente cada vez perto"
886,"army enquanto respondeu iria f"
887,"la acha ficar sao ser"
888,"pior ainda meter realmente tristes"
889,"venho twitter ter"
890,"sabia vindo twitter saber"
891,"vim twitter falar alguma coisa oq kkk"
892,"triste fico venho twitter falar merda pessoa mesma forma"
893,"quais sao ficar twitter fazer acho"
894,"posta twitter ter putaria kkkk kkk"
895,"fazer twitter entrar"
896,"vim twitter dar"
897,"todo amor pessoa outro ai twitter falar ama"
898,"aqui fez tudo causa veio homem"
899,"twitter falar besteira chato fazer outra rede social"
900,"aguardando lado twitter fazer sobre tomar"
901,"vim aqui twitter fazer alguma coisa esqueci odeio ser coisa tudo"
902,"merda pessoas twitter fazer"
903,"twitter usar"
904,"fico sabem merda twitter fazer pa"
905,"pessoa magoa venham twitter dar"
906,"menor fica deve ser maior ver posta twitter ficar"
907,"chorar twitter falar perder amor ter magoa"
908,"vim twitter ver faz"
909,"entrar twitter ver tag avril please come back ver fandom todo"
910,"bom povo twitter ver quais"
911,"tbm pior venho twitter falar monte coisa triste"
912,"bom"
913,"nome jesus twitter ter pode ter"
914,"aguardando twitter ficar legal hoje"
915,"toda noite antes dormir venho twitter dar olhada queria olhar"
916,"fala famoso twitter ficar"
917,"parece acha fazer"
918,"ser bom uso wpp fb twitter"
919,"real desde duas semanas twitter"
920,"paulo cruzeiro cruzeiro paulo sabe"
921,"ver meme falar merda"
922,"vamo tentar fazer bastante twitter fazer avril please come back"
923,"queria parar twitter entrar ver tempo gosto sentir"
924,"quero excluir facebook twitter ficar celular quer"
925,"passou dia vez estado hoje tempo"
926,"dizer fazer faz twitter falar"
927,"aviso face seguindo seguidores aqui twitter ter"
928,"amo twitter dar saco"
929,"bem outros fazem virem"
930,"faz agora veio twitter falar colega"
931,"preparando psicologicamente paulo ver twitter ficar porque"
932,"nunca vi aqui twitter falar iria show msm coitada"
933,"rapaz anos fazer nada twitter ver"
934,"sobre forma posso entender disso"
935,"david twitter antes twitter existir"
936,"gente pode amar assim vem twitter ficar"
937,"twitter apagar parar seguir facebook melhor esquecer"
938,"foda hoje dia dar logo vem twitter querer errado"
939,"entrar twitter ficar tml abrir dm tml dormir abrir dm horas dps"
940,"cara vontade ir cara cara"
941,"acho sei oq sei"
942,"tudo vi estado whatsapp sentido terra vim twitter saber verdade"
943,"olha fez twitter fazer"
944,"vejo hora twitter ficar"
945,"entrar twitter sair twitter entrar instagram sair instagram entrar twitter sair twitter"
946,"parece todo mundo ta lembro d maioria twitter ter anos agora c"
947,"vim twitter ver sentido d terra obrigado"
948,"nada vir twitter ver"
949,"ai sei falando twitter falar sozinha"
950,"respeito veio twitter falar mal veio lugar errado"
951,"vindo aqui casa foto vim twitter falar gente david t"
952,"respeito veio twitter falar mal camila veio lugar errado"
953,"linda fazer tw"
954,"dessa classe enquanto classe acorda meio dia pega"
955,"twitter coitada ver"
956,"vim twitter falar sono fazer dormir"
957,"medo dia gente verdade achar aqui twitter ver ler tudo falo"
958,"obrigada meninas twitter ter"
959,"sabem twitter apagar t"
960,"madrugada merda vamo twitter falar bosta"
961,"vim twitter fazer drama"
962,"nada globo fico entender ir twitter ver kkkkkkk"
963,"cria ai dormir esquecer sono vem twitter falar c"
964,"pai twitter ficar"
965,"militante twitter fazer podia"
966,"posto toda vida twitter fazer oq"
967,"tava medo tava vim twitter dar cheguei coisa bastante viu"
968,"vim aqui twitter ver"
969,"vir twitter falar disso meter fotos deixar pior pensar fogo"
970,"twitter saber"
971,"celular faz twitter ficar tweet"
972,"twitter kkk bosta"
973,"wpp vem twitter falar conversar"
974,"ainda vem twitter falar passou"
975,"triste virem twitter falar mal"
976,"sim mana vejo monte coisas maioria verdade corro twitter ver f"
977,"falta vir aqui twitter fazer reclamando"
978,"quero terminar ver algum anime escrever ficar twitter fazer ler algum ver"
979,"amor mto obrigada twitter ter"
980,"tudo seguidores follow antes twitter fazer"
981,"globo quero bastante pessoal twitter poder fazer novos memes"
982,"escrever twitter"
983,"ter vir twitter falar sobre tanta coisa ver"
984,"twitter dar show"
985,"pode excluir snap parar seguir twitter apagar fotos pessoa rua"
986,"gosta poder colocar fogo fogo vi"
987,"seguidores twitter mudar bastante"
988,"twitter fazer bem olhar divulgar ai gente obrigado"
989,"entendo povo vem twitter fazer bem aqui twitter aqui terra regras"
990,"melhor tudo vim twitter ver povo"
991,"acho tomar outro nunca vim aqui twitter falar"
992,"vejo corro twitter ver meme"
993,"postou video todo twitter ver"
994,"ai odeio entrar twitter ver army dando tirar ficar"
995,"virem twitter dar piada"
996,"twitter dar sobre vida outros"
997,"mexer celular manda tweet perguntando oque fazer pessoas twitter t"
998,"twitter poder ser melhor lugar bbb tempo lugar tudo"
999,"acordei mal vim twitter ver tbm kkk"
1000,"deixar coisa bem fala sobre ser morto cai gosto"
1001,"vir aqui twitter falar merda"
1002,"falar boa noite celular penso abro"
1003,"pessoas twitter fazer mandar"
1004,"aqui todos twitter ver"
1005,"sim fico ver chegou algo c"
1006,"sim sim vez tava tanta vi mto gente aq tw"
1007,"chegou madrugada vim xingar pessoa segue aqui twitter"
1008,"venho twitter ver chorar causa namoro gente falando namoro triste"
1009,"vem twitter falar comigo"
1010,"conversa venho twitter falar sozinha kkk"
1011,"twitter ficar twitter"
1012,"whatsapp podia parar twitter ficar"
1013,"cu venho twitter falar"
1014,"dps wpp twitter ficar morto"
1015,"acha normal criar twitter ficar postando tweets outros sentir v"
1016,"tempos tempos vir twitter falar and"
1017,"aviso vir aqui twitter ver postou algo porque"
1018,"vezes venho twitter dar discurso vamo cara"
1019,"coisa estar twitter querer ir outra fechar twitter"
1020,"vim twitter ver saiu nada perdi saiu"
1021,"outro twitter fazer talvez dias vida rs"
1022,"vim aqui twitter ver coisas sobre novela acabar perder"
1023,"boa noite segunda chance poder dessa pessoa"
1024,"aqui pensando redes vida alheia ficar vendo"
1025,"obrigado abrir twitter ver tag dizendo melhor anime"
1026,"adoro estar twitter ver indiretas perceber tudo"
1027,"vim twitter ver of"
1028,"vim twitter ver tweet famoso"
1029,"pai disse dar iphone fazer igual colega twitter ficar indignada min"
1030,"entrar vinha twitter fazer piada"
1031,"ver entrar twitter ver tanto ver tag"
1032,"link grupo flores desse twitter entrar jardim"
1033,"dou minutos vir twitter falar"
1034,"final eibar"
1035,"final eibar"
1036,"tomar cu vem twitter saber vida outros"
1037,"vejo twitter falar sobre hoje aqui sala"
1038,"ent twitter fazer"
1039,"descanso eibar"
1040,"descanso eibar"
1041,"bem daquelas ver alguma coisa twitter ficar querer vamo"
1042,"link grupo flores desse twitter entrar jardim"
1043,"virem twitter fazer merda acabar"
1044,"nova modinha twitter falar merda trancar conta aguenta"
1045,"odeio gente twitter ficar usando twitter"
1046,"acho sobre sentir favor"
1047,"queria dizer linda cria canal youtube porque aguento vim twitter ver"
1048,"falar twitter parece legal"
1049,"daqui pouco pedir twitter fazer sobre tanto nessa rede social"
1050,"vim twitter falar divulgar"
1051,"preciso colocar ta ver t"
1052,"gente vem twitter falar mau outros rua dois menor"
1053,"vontade criar canal youtube ficar twitter ficar famoso"
1054,"acho aparecer porque twitter achar mau"
1055,"tentar explicar acordei madrugada vir aqui twitter saber"
1056,"saudade casa vinha twitter fazer"
1057,"venho twitter ver algo perdi"
1058,"outra rede social nada twitter falar igual sozinha kkkkkkk"
1059,"lugar chamar amar melhor outro"
1060,"dar olhada twitter achar tristes sair chorando tomar cu"
1061,"tanto twitter falar disso agr bb"
1062,"kkkkkk chama nada fazer twitter falar merda"
1063,"quero twitter ficar falando merda dia todo aqui prefiro vida real porra maior"
1064,"mina coreia outro grupo vem pessoas twitter falar todo fandom cara"
1065,"tanta vergonha daquelas mal vontade excluir twitter entrar nunca sair"
1066,"ir twitter falar mal ti mal sabe falei mal"
1067,"aqui twitter falar quanto"
1068,"vim aqui twitter fazer algo esqueci"
1069,"venho twitter falar merda"
1070,"lembro vez camila veio twitter falar tava chorando dias causa"
1071,"ver anime olha jogo quer jogar ver video olha stts whatsapp stts whatsapp"
1072,"sono quero dormir adoro passar tempo twitter dar pessoa"
1073,"todos"
1074,"nada melhor fazer vim aqui twitter falar sozinha"
1075,"ficar twitter deixar pessoas d mim"
1076,"triste abrir twitter ver galerinha conversando super c outra galerinha perceber sozinha"
1077,"dias vi tweet sobre twitter ter pessoas falando nada gente"
1078,"obrigado"
1079,"twitter fazer anda pronto"
1080,"bom poder vir twitter falar sozinha"
1081,"faz coisa melhor vem twitter falar"
1082,"assim curso duas twitter"
1083,"ser army apenas seguir twitter achar legais ser army madrugada causa c"
1084,"ter"
1085,"achei ia ficar tempo twitter fazer dia terminar po"
1086,"vindo twitter falar"
1087,"fazer sabe conta twitter ficar"
1088,"bom ver pessoa disse tava querendo chamar aqui twitter ficar querendo chama"
1089,"agora sei twitter usar"
1090,"pessoa ta conversando comigo vem twitter falar queria conversar todos dias bla bla bla"
1091,"pergunta"
1092,"vida resumida fazer twitter twitter fazer outro twitter"
1093,"venho olhar twitter ficar olhando lindo kkkk"
1094,"abrir twitter ver fala todas fechar twitter"
1095,"facebook twitter ficar pegar"
1096,"vem twitter fazer vergonha"
1097,"entro twitter ficar ruim"
1098,"agora twitter usar"
1099,"galera vir twitter falar bosta jesus"
1100,"entender facebook twitter ter mil youtube"
1101,"sim sei todos fico indignada amigos amo virem aqui t"
1102,"galera vir twitter falar fica todas redes sociais coisas"
1103,"dar tarde coreia ai ver"
1104,"pior coisa pessoa terminar vir twitter falar mal"
1105,"vontade apagar twitter apagar facebook apagar whatsapp apagar desse mundo"
1106,"porque frases insta stories tipo venham twitter fazer"
1107,"dar aqui mana uso celular mexer twitter falar"
1108,"ajudar twitter entrar hahaha"
1109,"vamo todo mundo twitter fazer ver quanto tempo cai site"
1110,"prefiro ter seguidores seguir pouco seguir gente ser twitter ficar t"
1111,"melhor dizendo t"
1112,"gente boa noite venho twitter poder ter seguidores"
1113,"vem aqui twitter dar moral gente"
1114,"demais twitter seguir melhor"
1115,"chato putaria aqui tt mundo quer ver pronto twitter fazer oq"
1116,"twitter dar todo"
1117,"olhar twitter existir"
1118,"pedir twitter dar twitter oficial"
1119,"odeio tipo pessoa escolhe ser escolhe vir twitter falar escolhe mandar motivo"
1120,"vem twitter falar merda vem"
1121,"vem twitter falar merda deixa gente cada vez perto"
1122,"army enquanto respondeu iria f"
1123,"la acha ficar sao ser"
1124,"pior ainda meter realmente tristes"
1125,"venho twitter ter"
1126,"sabia vindo twitter saber"
1127,"vim twitter falar alguma coisa oq kkk"
1128,"triste fico venho twitter falar merda pessoa mesma forma"
1129,"quais sao ficar twitter fazer acho"
1130,"posta twitter ter putaria kkkk kkk"
1131,"fazer twitter entrar"
1132,"vim twitter dar"
1133,"todo amor pessoa outro ai twitter falar ama"
1134,"aqui fez tudo causa veio homem"
1135,"twitter falar besteira chato fazer outra rede social"
1136,"aguardando lado twitter fazer sobre tomar"
1137,"vim aqui twitter fazer alguma coisa esqueci odeio ser coisa tudo"
1138,"merda pessoas twitter fazer"
1139,"twitter usar"
1140,"fico sabem merda twitter fazer pa"
1141,"pessoa magoa venham twitter dar"
1142,"menor fica deve ser maior ver posta twitter ficar"
1143,"chorar twitter falar perder amor ter magoa"
1144,"vim twitter ver faz"
1145,"entrar twitter ver tag avril please come back ver fandom todo"
1146,"bom povo twitter ver quais"
1147,"tbm pior venho twitter falar monte coisa triste"
1148,"bom"
1149,"nome jesus twitter ter pode ter"
1150,"aguardando twitter ficar legal hoje"
1151,"toda noite antes dormir venho twitter dar olhada queria olhar"
1152,"fala famoso twitter ficar"
1153,"parece acha fazer"
1154,"ser bom uso wpp fb twitter"
1155,"real desde duas semanas twitter"
1156,"paulo cruzeiro cruzeiro paulo sabe"
1157,"ver meme falar merda"
1158,"vamo tentar fazer bastante twitter fazer avril please come back"
1159,"queria parar twitter entrar ver tempo gosto sentir"
1160,"quero excluir facebook twitter ficar celular quer"
1161,"passou dia vez estado hoje tempo"
1162,"dizer fazer faz twitter falar"
1163,"aviso face seguindo seguidores aqui twitter ter"
1164,"amo twitter dar saco"
1165,"bem outros fazem virem"
1166,"faz agora veio twitter falar colega"
1167,"preparando psicologicamente paulo ver twitter ficar porque"
1168,"nunca vi aqui twitter falar iria show msm coitada"
1169,"rapaz anos fazer nada twitter ver"
1170,"sobre forma posso entender disso"
1171,"david twitter antes twitter existir"
1172,"gente pode amar assim vem twitter ficar"
1173,"twitter apagar parar seguir facebook melhor esquecer"
1174,"foda hoje dia dar logo vem twitter querer errado"
1175,"entrar twitter ficar tml abrir dm tml dormir abrir dm horas dps"
1176,"cara vontade ir cara cara"
1177,"acho sei oq sei"
1178,"tudo vi estado whatsapp sentido terra vim twitter saber verdade"
1179,"olha fez twitter fazer"
1180,"vejo hora twitter ficar"
1181,"entrar twitter sair twitter entrar instagram sair instagram entrar twitter sair twitter"
1182,"parece todo mundo ta lembro d maioria twitter ter anos agora c"
1183,"vim twitter ver sentido d terra obrigado"
1184,"nada vir twitter ver"
1185,"ai sei falando twitter falar sozinha"
1186,"respeito veio twitter falar mal veio lugar errado"
1187,"vindo aqui casa foto vim twitter falar gente david t"
1188,"respeito veio twitter falar mal camila veio lugar errado"
1189,"linda fazer tw"
1190,"dessa classe enquanto classe acorda meio dia pega"
1191,"twitter coitada ver"
1192,"vim twitter falar sono fazer dormir"
1193,"medo dia gente verdade achar aqui twitter ver ler tudo falo"
1194,"obrigada meninas twitter ter"
1195,"sabem twitter apagar t"
1196,"madrugada merda vamo twitter falar bosta"
1197,"vim twitter fazer drama"
1198,"nada globo fico entender ir twitter ver kkkkkkk"
1199,"cria ai dormir esquecer sono vem twitter falar c"
1200,"pai twitter ficar"
1201,"militante twitter fazer podia"
1202,"posto toda vida twitter fazer oq"
1203,"tava medo tava vim twitter dar cheguei coisa bastante viu"
1204,"vim aqui twitter ver"
1205,"vir twitter falar disso meter fotos deixar pior pensar fogo"
1206,"twitter saber"
1207,"celular faz twitter ficar tweet"
1208,"twitter kkk bosta"
1209,"wpp vem twitter falar conversar"
1210,"ainda vem twitter falar passou"
1211,"triste virem twitter falar mal"
1212,"sim mana vejo monte coisas maioria verdade corro twitter ver f"
1213,"falta vir aqui twitter fazer reclamando"
1214,"quero terminar ver algum anime escrever ficar twitter fazer ler algum ver"
1215,"amor mto obrigada twitter ter"
1216,"tudo seguidores follow antes twitter fazer"
1217,"globo quero bastante pessoal twitter poder fazer novos memes"
1218,"ter vir twitter falar sobre tanta coisa ver"
1219,"twitter dar show"
1220,"pode excluir snap parar seguir twitter apagar fotos pessoa rua"
1221,"gosta poder colocar fogo fogo vi"
1222,"seguidores twitter mudar bastante"
1223,"twitter fazer bem olhar divulgar ai gente obrigado"
1224,"entendo povo vem twitter fazer bem aqui twitter aqui terra regras"
1225,"melhor tudo vim twitter ver povo"
1226,"acho tomar outro nunca vim aqui twitter falar"
1227,"vejo corro twitter ver meme"
1228,"postou video todo twitter ver"
1229,"ai odeio entrar twitter ver army dando tirar ficar"
1230,"virem twitter dar piada"
1231,"twitter dar sobre vida outros"
1232,"mexer celular manda tweet perguntando oque fazer pessoas twitter t"
1233,"twitter poder ser melhor lugar bbb tempo lugar tudo"
1234,"acordei mal vim twitter ver tbm kkk"
1235,"deixar coisa bem fala sobre ser morto cai gosto"
1236,"vir aqui twitter falar merda"
1237,"falar boa noite celular penso abro"
1238,"pessoas twitter fazer mandar"
1239,"aqui todos twitter ver"
1240,"sim fico ver chegou algo c"
1241,"sim sim vez tava tanta vi mto gente aq tw"
1242,"chegou madrugada vim xingar pessoa segue aqui twitter"
1243,"venho twitter ver chorar causa namoro gente falando namoro triste"
1244,"vem twitter falar comigo"
1245,"conversa venho twitter falar sozinha kkk"
1246,"twitter ficar twitter"
1247,"whatsapp podia parar twitter ficar"
1248,"cu venho twitter falar"
1249,"dps wpp twitter ficar morto"
1250,"acha normal criar twitter ficar postando tweets outros sentir v"
1251,"tempos tempos vir twitter falar and"
1252,"aviso vir aqui twitter ver postou algo porque"
1253,"vezes venho twitter dar discurso vamo cara"
1254,"coisa estar twitter querer ir outra fechar twitter"
1255,"vim twitter ver saiu nada perdi saiu"
1256,"outro twitter fazer talvez dias vida rs"
1257,"vim aqui twitter ver coisas sobre novela acabar perder"
1258,"boa noite segunda chance poder dessa pessoa"
1259,"aqui pensando redes vida alheia ficar vendo"
1260,"obrigado abrir twitter ver tag dizendo melhor anime"
1261,"adoro estar twitter ver indiretas perceber tudo"
1262,"vim twitter ver of"
1263,"vim twitter ver tweet famoso"
1264,"pai disse dar iphone fazer igual colega twitter ficar indignada min"
1265,"entrar vinha twitter fazer piada"
1266,"ver entrar twitter ver tanto ver tag"
1267,"link grupo flores desse twitter entrar jardim"
1268,"dou minutos vir twitter falar"
1269,"final eibar"
1270,"final eibar"
1271,"tomar cu vem twitter saber vida outros"
1272,"vejo twitter falar sobre hoje aqui sala"
1273,"ent twitter fazer"
1274,"descanso eibar"
1275,"descanso eibar"
1276,"bem daquelas ver alguma coisa twitter ficar querer vamo"
1277,"link grupo flores desse twitter entrar jardim"
1278,"virem twitter fazer merda acabar"
1279,"nova modinha twitter falar merda trancar conta aguenta"
1280,"odeio gente twitter ficar usando twitter"
1281,"acho sobre sentir favor"
1282,"queria dizer linda cria canal youtube porque aguento vim twitter ver"
1283,"falar twitter parece legal"
1284,"daqui pouco pedir twitter fazer sobre tanto nessa rede social"
1285,"vim twitter falar divulgar"
1286,"preciso colocar ta ver t"
1287,"gente vem twitter falar mau outros rua dois menor"
1288,"acho aparecer porque twitter achar mau"
1289,"tentar explicar acordei madrugada vir aqui twitter saber"
1290,"saudade casa vinha twitter fazer"
1291,"venho twitter ver algo perdi"
1292,"outra rede social nada twitter falar igual sozinha kkkkkkk"
1293,"lugar chamar amar melhor outro"
1294,"dar olhada twitter achar tristes sair chorando tomar cu"
1295,"tanto twitter falar disso agr bb"
1296,"kkkkkk chama nada fazer twitter falar merda"
1297,"quero twitter ficar falando merda dia todo aqui prefiro vida real porra maior"
1298,"mina coreia outro grupo vem pessoas twitter falar todo fandom cara"
1299,"tanta vergonha daquelas mal vontade excluir twitter entrar nunca sair"
1300,"ir twitter falar mal ti mal sabe falei mal"
1301,"aqui twitter falar quanto"
1302,"vim aqui twitter fazer algo esqueci"
1303,"venho twitter falar merda"
1304,"passou hora twitter ter porque"
1305,"lembro vez camila veio twitter falar tava chorando dias causa"
1306,"ver anime olha jogo quer jogar ver video olha stts whatsapp stts whatsapp"
1307,"sono quero dormir adoro passar tempo twitter dar pessoa"
1308,"todos"
1309,"nada melhor fazer vim aqui twitter falar sozinha"
1310,"ficar twitter deixar pessoas d mim"
1311,"triste abrir twitter ver galerinha conversando super c outra galerinha perceber sozinha"
1312,"dias vi tweet sobre twitter ter pessoas falando nada gente"
1313,"obrigado"
1314,"twitter fazer anda pronto"
1315,"bom poder vir twitter falar sozinha"
1316,"faz coisa melhor vem twitter falar"
1317,"assim curso duas twitter"
1318,"ser army apenas seguir twitter achar legais ser army madrugada causa c"
1319,"ter"
1320,"achei ia ficar tempo twitter fazer dia terminar po"
1321,"vindo twitter falar"
1322,"fazer sabe conta twitter ficar"
1323,"bom ver pessoa disse tava querendo chamar aqui twitter ficar querendo chama"
1324,"agora sei twitter usar"
1325,"pessoa ta conversando comigo vem twitter falar queria conversar todos dias bla bla bla"
1326,"pergunta"
1327,"vida resumida fazer twitter twitter fazer outro twitter"
1328,"venho olhar twitter ficar olhando lindo kkkk"
1329,"abrir twitter ver fala todas fechar twitter"
1330,"facebook twitter ficar pegar"
1331,"vem twitter fazer vergonha"
1332,"entro twitter ficar ruim"
1333,"agora twitter usar"
