,Comment,pru,npru
1137,vim aqui twitter fazer alguma coisa esqueci odeio ser coisa tudo,0,1
1976,ser feliz twitter deixar gente corrigir tweets,1,0
1068,vim aqui twitter fazer algo esqueci,0,1
1487,twitter chato cara,1,0
99,obrigada sempre aqui obrigada bem obrigada followers mundo,0,1
683,chegou hora vem twitter ver tudo,0,1
137,fazer twitter novo,1,0
985,pode excluir snap parar seguir twitter apagar fotos pessoa rua,0,1
1592,amo mt twitter fiquei ano entrar,1,0
446,gente face precisando twitter face twitter kk,1,0
880,twitter colabora,1,0
793,twitter acompanhar vivo raiva,1,0
1572,alguem ajuda nova faz deixar,1,0
530,sair pouco desse twitter ver tl ta deixando bem,1,0
245,twitter novo sempre,1,0
252,fazer nada bom usar twitter alguem,0,1
242,mi twitter lindo,1,0
510,entro twitter amor ver alguma coisa pergunta diz,0,1
962,twitter acontecendo tudo criei conta,1,0
1203,tava medo tava vim twitter dar cheguei coisa bastante viu,0,1
737,vir aq twitter falar merda,0,1
129,hoje sabe fica achei bemvindos twitter,0,1
666,saudade twitter sei tanto tempo vir aqui,1,0
149,bom dia twitter,0,1
774,bom,0,1
764,twitter ta carregando nenhuma,1,0
114,menina anos postando twitter tudo tipo,0,1
422,tweets bem legais,0,1
1766,vida twitter ter editar tweet poder,1,0
92,bem perto followers,0,1
779,twitter,1,0
53,facebook twitter,1,0
1311,twitter bonito escuro,1,0
1073,todos,0,1
892,triste fico venho twitter falar merda pessoa mesma forma,0,1
1758,pro twitter ficar trevas,1,0
33,twitter fazer mil tweets ta falo pouco,0,1
24,pouco colocar tag todos tweets la justin,0,1
155,bom dia twitter sumido aqui claro continuo idiota,0,1
1454,twitter aqui melhores,1,0
1006,sim sim vez tava tanta vi mto gente aq tw,0,1
6,tweets,0,1
958,twitter pergunta acontecendo sei ajuda favor ficando louco,1,0
149,twitter novo merda,1,0
585,cria amor vir twitter falar mal,0,1
282,mim estar assim agora ter tweets,0,1
1341,sei twitter ser modo noturno,1,0
332,twitter louco,1,0
1663,twitter sempre,1,0
620,ir twitter falar sobre,0,1
1702,excluir twitter aqui,1,0
503,cansei twitter ficar bloqueando,1,0
1449,app mostra deixou seguir twitter porque queria seguir volta lembro,1,0
320,criei twitter legal sei usar,1,0
420,tava aqui fiquei meio tweets anos jesus ainda bem,0,1
410,bate bem bate qualquer forma sigam tweets internet,0,1
1512,ai twitter amo,1,0
1190,pro twitter porque vontade novo,1,0
780,gente vem twitter falar todo mundo todas pessoas todos,0,1
601,haha twitter tanto tempo assim,1,0
424,alguns tweets dessa hashtag sao bem verdade,0,1
98,usando twitter direto ta foda celular ta lixo,1,0
673,dessa foto twitter ter,0,1
568,seguir gente twitter ficar nada morto,0,1
40,puta desse twitter lento,1,0
280,mil tweets cada vez acho falo demais,0,1
1675,sempre usei twitter sempre amigos aqui,1,0
648,saudades twitter ficar internet,0,1
674,twitter,1,0
454,tentar dormir conseguir vir pro twitter dar muita risada dormir,1,0
982,aqui twitter porque facebook,1,0
722,uso modo noturno twitter porque letras,1,0
1114,twitter ficar mimimi causa,1,0
1374,gosto twitter porque parente aqui dai posso fazer varias,1,0
1244,vem twitter falar comigo,0,1
721,monte anos motivo twitter existir agora melhor lugar reclamar vida,0,1
95,followers ser assim bem kkkkkkk bom dia,0,1
788,aqui twitter instagram kkkkkk zuera,1,0
1280,vo aqui twitter aqui pessoa legal fodase eh,1,0
1857,pro twitter falar mal bem vindo,1,0
1583,amo twitter consegui ficar tanto tempo longe,1,0
84,momento algum falei queria ver tweets apenas,0,1
634,dia twitter ficar igual rede social gente iria t,0,1
561,existe mto twitter falar,0,1
353,achar twitter chato,1,0
840,pode cara poder tweet pode dar muita,1,0
927,usa twitter lembro,1,0
679,abrir todas redes sociais tentar dormir abrir twitter perder sono reclamar t,0,1
396,faz pro twitter ficar azul escuro quero,1,0
463,twitter diz mundo,0,1
76,acho modo noturno twitter lindo demais merda usar fico toda confusa,1,0
112,twitter jogo,0,1
1759,faz pro twitter ficar modo noturno acabei atualizar branco,1,0
702,twitter ta chegando cu,1,0
1328,twitter,1,0
1128,seguidores uso twitter porque gosto mim ter mesma cena,1,0
1691,twitter bugado existe,1,0
406,twitter ficar pior site,1,0
1255,vim twitter ver saiu nada perdi saiu,0,1
1248,cu venho twitter falar,0,1
1053,vontade criar canal youtube ficar twitter ficar famoso,0,1
652,queria saber twitter ta mostrando,1,0
841,gosto twitter porque aqui falo sozinha,1,0
1444,modo noturno deixa twitter,1,0
936,gente pode amar assim vem twitter ficar,0,1
1182,parece todo mundo ta lembro d maioria twitter ter anos agora c,0,1
1256,mano nunca twitter porque,1,0
1284,twitter mal aqui sinto casa,1,0
528,pessoa aqui tl tentando vida vem twitter dar spoiler acabei dar unfollow,1,0
505,nova modinha twitter legal,0,1
1742,finalmente consegui fazer twitter entrar celular novo ainda bugado caralho,1,0
529,maior whats twitter face tudo parado,1,0
1448,twitter porque sabe,1,0
1458,twitter,1,0
1841,sozinho,1,0
953,twitter pergunta oq acontecendo tbm sei,1,0
1237,falar boa noite celular penso abro,0,1
229,bom dia galera twitter face porra toda,0,1
204,bom dia galera twitter,0,1
491,olha desativou alguns dias normal twitter dar bugada desativei ficou jeito,1,0
14,ainda bem ia colocar followers,0,1
1770,sdds twitter ficar internet legal,1,0
76,sempre fazer sai excluindo tudo excluindo tweets porque cheguei,0,1
1604,vzs twitter dar bug legal,1,0
349,twitter direto,1,0
1154,ser bom uso wpp fb twitter,0,1
1324,agora sei twitter usar,0,1
711,problemas receber twitter nada pessoas receber,1,0
1100,cenas twitter porque onde ninguem quer saber,1,0
1174,foda hoje dia dar logo vem twitter querer errado,0,1
47,mandando tweets justin pouco errado amo kkk,0,1
879,twitter mostra dm ser saber,1,0
1193,medo dia gente verdade achar aqui twitter ver ler tudo falo,0,1
564,twitter saco,1,0
1767,bgl twitter ficar mostrando antigo,1,0
44,pessoa gosto uso twitter bom mim,1,0
1569,pensando nesse usar apenas twitter rede social facebook ta,1,0
615,twitter nada vida excluir,1,0
1023,boa noite segunda chance poder dessa pessoa,0,1
965,melhor twitter poder silenciar conta quiser,1,0
1271,twitter porque vida merda,1,0
651,falando mal,0,1
1014,flamengo ta falta twitter ficar preto,1,0
1501,usam twitter bloco nota ver coisas,1,0
363,todos tweets gente bem melhor fica,0,1
493,usa whats mundo passa usar twitter ver outra,1,0
838,fechar twitter entrar whatsapp ver todas fechar whatsapp abrir twitter,0,1
1280,odeio gente twitter ficar usando twitter,0,1
1303,venho twitter falar merda,0,1
113,entendi twitter novo bosta,1,0
1151,juro meio twitter aqui,1,0
425,twitter usar,1,0
1279,nova modinha twitter falar merda trancar conta aguenta,0,1
481,imagina alguem twitter pessoa,0,1
1768,maior achar capa,1,0
488,twitter ficar chato dia jogo pqp,1,0
1248,gente twitter desculpa mal,1,0
332,entro twitter tweets mundo ok,0,1
893,quais sao ficar twitter fazer acho,0,1
502,pro twitter ficar perfeito poderia ter,1,0
600,twitter notificando nada ficando,1,0
1266,sobre modo noturno ter eh mt melhor,1,0
398,gente vem pro twitter dar,1,0
1240,sim fico ver chegou algo c,0,1
1268,dou minutos vir twitter falar,0,1
598,twitter ficar ai volta fodase fica,0,1
462,twitter assim algum mim forma mil vezes,0,1
14,twitter triste,1,0
783,excluir twitter vejo nisso,1,0
1093,fotos twitter,1,0
1031,ver entrar twitter ver tanto ver tag,0,1
20,ver following,0,1
1294,dar olhada twitter achar tristes sair chorando tomar cu,0,1
1306,ver anime olha jogo quer jogar ver video olha stts whatsapp stts whatsapp,0,1
944,reclamar twitter pergunta tempo todo acontecendo,1,0
778,twitter,1,0
326,twitter,1,0
1101,vi realmente twitter aqui hein,1,0
221,bom dia pessoas saudade twitter ser aqui deus,0,1
745,parece alguem twitter,1,0
139,apenas queria apenas following bem,0,1
593,vida ta resumida comer mexer wpp mexer twitter amar comer dormir,0,1
411,coisas pro twitter ficar editar tweets maior capa,1,0
1045,odeio gente twitter ficar usando twitter,0,1
1098,fico twitter porque vezes pessoas conversar tanto,1,0
1250,acha normal criar twitter ficar postando tweets outros sentir v,0,1
1275,twitter porque aqui quase,1,0
1359,existe twitter parado,1,0
847,amo twitter porque posso falar quiser fica,1,0
1028,vim twitter ver tweet famoso,0,1
1059,twitter bom devia,1,0
457,sempre mundo venho pro twitter ver memes hahahaha,1,0
1756,pro twitter ter editar tweet tanto tempo,1,0
427,twitter face onde,1,0
1679,monte gente falando nova twitter aqui apareceu kkkk,1,0
1269,twitter parado vida amorosa ir dormir kkk,1,0
1856,twitter ficar,1,0
346,beleza dar aqui assistir logo twitter maldito odeio,1,0
746,twitter msg falando vc seguidor cu,1,0
344,rs tweets,0,1
1412,ai twitter vezes,1,0
891,gosto twitter porque preciso parar meio porque falo tudo vez nenhuma,1,0
1307,sono quero dormir adoro passar tempo twitter dar pessoa,0,1
927,aviso face seguindo seguidores aqui twitter ter,0,1
141,celular fica achando twitter triste,1,0
1959,twitter ficar nessa ficar toda hora senha fazer outro,1,0
862,porque deu sdds twitter voltar,1,0
90,mundo ficar tweets pa sempre,0,1
188,bom dia povo lindo twitter,0,1
1052,twitter bugado,1,0
1176,cara vontade ir cara cara,0,1
601,hoje dias nada fazer vem twitter falar sozinha,0,1
507,bgl twitter ficar mostrando antigo,1,0
1657,olha desativou alguns dias normal twitter dar bugada desativei ficou jeito,1,0
467,show tempo,0,1
1386,mds quero sair twitter cedo,1,0
1658,quer twitter wpp,1,0
1037,snap twitter,1,0
1587,nunca tanto twitter hoje bonner,1,0
175,melhor coisa fazer twitter novo gente seguia,1,0
121,twitter novo,1,0
639,pensando ir twitter ver queria fazer,0,1
1460,triste preciso twitter porque triste,1,0
873,prefiro ter seguidores seguir pouco seguir gente ser twitter ficar t,0,1
1680,postando mt foto twitter eh nois,1,0
1916,oq gosto fazer gosto twitter dar vida,1,0
566,sair twitter twitter sai mim,1,0
558,acontecendo ser twitter pqp,1,0
206,falo mt twitter chato crl credo,1,0
1065,mano odeio coisas twitter porque acho ter tipo vida,1,0
1262,twitter,1,0
1485,postando aqui twitter porque hoje,1,0
226,twitter novo merda,1,0
1397,fazer outro twitter porque conseguir outro perdi ta ai,1,0
170,twitter novo outro,1,0
1008,venho twitter ver chorar causa namoro gente falando namoro triste,0,1
991,night mode deixa twitter,1,0
1523,aqui twitter,1,0
269,twitter querido deixa,1,0
845,criar novo twitter apagar bom acho,0,1
310,vendo antigos tweets saudades,0,1
1185,nunca twitter morto semana,1,0
850,adoro twitter assim,1,0
940,odeio twitter dar tweet entender,1,0
135,conseguindo acompanhar twitter menos,1,0
794,twitter carrega,1,0
64,consegui criar twitter novo tentando trocar senha real consigo tipo coisa,1,0
54,tweets pouco,0,1
849,entrar twitter entro fico confusa tipo,1,0
299,finalmente twitter maldito,1,0
820,ai aguento twitter aguento gente chata aguento vo desativar tchau,1,0
886,twitter travar mandar azul tomar,1,0
1086,vindo twitter falar,0,1
758,aqui twitter tal vivo,1,0
1273,ent twitter fazer,0,1
414,ta hora twitter fazer editar tweet,1,0
930,faz agora veio twitter falar colega,0,1
1388,twitter chato demais melhores volto,1,0
1003,ficam faz twitter ficar sei,1,0
743,vcs tirar voltar,1,0
476,assim twitter ficar movimentado,1,0
1997,porra entra monte tweet novo aqui faz twitter ficar todo travado site porra vsf,1,0
1717,tanta falar tudo twitter antigamente,1,0
855,meio twitter ver,0,1
1267,falar aqui twitter porque menos aqui,1,0
762,twitter aparecendo fotos,1,0
197,bom dia,0,1
518,bem kkkk,0,1
1077,twitter porque bloquear merda,1,0
271,usa twitter maldito,1,0
390,gosto ficar vendo tweets faz bem,0,1
369,amo twitter bom dia,1,0
578,coisa nada fazer onde twitter falar sozinha,0,1
1410,gosto twitter porque pessoas,1,0
714,nesse ano fazer ano vem,0,1
720,app twitter quer pegar,1,0
235,fico bom tempo entrar nesse twitter ee interessante,0,1
600,casa legal vir twitter dar,0,1
672,twitter foto antes avatar,1,0
485,twitter rapaz disso,0,1
655,odeio twitter sei uso,1,0
793,segue vem twitter fazer tomar,0,1
281,tweets fc grande pode tweetar tweetar mil,0,1
113,boa noite uso twitter apenas tirar facil face ok quiser po,0,1
1363,raiva twitter ficar mostrando vc entra nada,1,0
1032,twitter aqui onde pessoas mundo aqui mundo,1,0
109,twitter querido,1,0
1801,passou hora twitter fazer editar tweet,1,0
229,twitter chato jesus,1,0
1808,twitter deixar largar celular,1,0
700,aparece assim atualizar twitter assim,1,0
977,twitter pergunta oq acontecendo vontade desabafar,1,0
949,ai sei falando twitter falar sozinha,0,1
1169,rapaz anos fazer nada twitter ver,0,1
1694,parar falar twitter amo ficar aqui sentindo,1,0
1981,twitter ter modo noturno,1,0
569,gente falar vida gente fala twitter fazer,0,1
1749,pro twitter ficar melhor colocar modo editar,1,0
414,cheguei tweets bem sabia,0,1
1151,toda noite antes dormir venho twitter dar olhada queria olhar,0,1
713,twitter quer atualizar tl,1,0
314,ver twitter legal dai entrei perfil pessoas vendo outros tweets kkkkk,1,0
119,twitter esqueci senha outro,1,0
1364,cor twitter porque tava quase tanto,1,0
1859,todos dias twitter ter modo noturno facebook instagram,1,0
1108,twitter melhor facebook momento,1,0
1084,ter,0,1
1161,twitter porque ta mandando toda hora merda,1,0
1884,pro twitter ficar bem,1,0
1580,uso twitter antes,1,0
266,tweets antigos min,0,1
1094,tomar porque todas,1,0
1457,usar twitter existe,1,0
743,dia ser feliz postar feliz instagram falar twitter,0,1
1120,twitter tao caralho louco td ta acontecendo,1,0
910,twitter ta carregando direito,1,0
942,falta twitter poder notas,1,0
1002,falar boa noite celular penso abro,0,1
1886,sdds twitter ter corrigir tweet errado sdds nunca,1,0
765,venho twitter falar coisas legais reclamar,0,1
831,twitter hoje,1,0
1315,hoje dia todo twitter boa tag pro,1,0
215,fazer twitter legal,1,0
787,vi entrando site enem vim twitter ver memes kkk,0,1
1186,respeito veio twitter falar mal veio lugar errado,0,1
227,bom dia twitter,0,1
392,twitter ficar travando,1,0
27,ter twitter novo coisa bem sinto melhor vo fica aqui conta ninguem facebook ta conta nova,1,0
1201,militante twitter fazer podia,0,1
752,twitter editar tweet segue vida bosta,1,0
935,david twitter antes twitter existir,0,1
452,preciso twitter usar passado,1,0
478,assim bug twitter passar gente segue sim kkkk,1,0
914,aguardando twitter ficar legal hoje,0,1
1050,vim twitter falar divulgar,0,1
1423,baixar novo twitter porque,1,0
1969,passou hora desse twitter ter editar acho,1,0
909,anos usar twitter sei mexe nisso,1,0
1336,sair desse twitter porque aguento lendo coisas,1,0
1491,twitter aqui,1,0
943,olha fez twitter fazer,0,1
1923,twitter ruim bad twitter melhor coisa mundo kkkkkk,1,0
619,querido twitter porque consigo abrir dms,1,0
1129,wifi funciona twitter porque melhor rede social,1,0
998,atualizei twitter vez agora apareceu modo noturno,1,0
230,bom dia gente linda twitter dia talvez seguir sigo tds,0,1
791,twitter funciona direito nesse celular,1,0
299,dois tweets,0,1
846,odeio vem twitter falar vida ta boa feliz gente twitter gente vida,0,1
1739,cada dia passa twitter ter,1,0
725,twitter hoje morto,1,0
199,bom,0,1
132,twitter bom acho,1,0
283,acho criar twitter novo usar ficar lendo,1,0
1793,bem twitter poder ter modo editar,1,0
563,twitter deu block novo,1,0
22,unfollow outros followers following,0,1
1243,venho twitter ver chorar causa namoro gente falando namoro triste,0,1
921,conta twitter achando,1,0
1784,tudo pro twitter ter novo tanto,1,0
969,esperando boa vontade pessoa twitter vir mexer colocar editar,1,0
188,nome twitter bom dia,1,0
1038,amo twitter porque parente face sabe usa,1,0
681,sigo desde discurso sobre twitter ter muitos daqui tempo site,0,1
913,odeio errar porra twitter deixar editar dai ter apagar,1,0
1087,acho modo noturno twitter fico twitter,1,0
605,fazer nesse vem twitter querer falar alguma coisa kkkkkkk,0,1
1015,acha normal criar twitter ficar postando tweets outros sentir v,0,1
723,twitter abrir fiquei tipo twitter reclamar twitter quer abrir,1,0
305,tweets,0,1
1390,entro twitter reclamar,1,0
1666,ta chegando twitter aqui,1,0
1027,amo twitter aqui lugar onde fala tudo vida fb antes vc falar vem cara,1,0
597,twitter quer ficar modo noturno,1,0
758,sai insta vem twitter ver,0,1
997,puta twitter chato af,1,0
630,dou boa noite pessoas venho twitter fazer pouco nada dormir,0,1
1068,eh amo site twitter aqui fico sabendo coisas,1,0
1051,night mode vontade usar twitter vezes,1,0
1070,mesma fiz aqui qualquer forma amei twitter,1,0
653,twitter quer atualizar tweets pessoas sigo,1,0
1931,twitter bug chato,1,0
1290,usar twitter,1,0
533,facil y falta ver followers xd,0,1
71,tweets obrigada ajudar kkk,0,1
667,ai aparece twitter,1,0
878,twitter parado,1,0
1775,agora deu twitter dar tweet ah vsf,1,0
340,twitter chato nada fazer sair disso,1,0
991,acho tomar outro nunca vim aqui twitter falar,0,1
132,fica falando mal outros twitter ter fazer,0,1
1615,uso twitter funcionar preciso ficar pouco nome aqui kkkk,1,0
1304,passou hora twitter ter porque,0,1
403,olha queria c acho viu tweets aqui bem claro,0,1
1109,amo twitter aqui ta,1,0
518,dia twitter ficar ar pode,1,0
1928,twitter erro servidor toda,1,0
766,twitter manda segue,1,0
1779,dia twitter ficar ar pode,1,0
921,ver meme falar merda,0,1
906,twitter rede,1,0
10,meninas sala tweets lindas,0,1
1918,twitter ficar chato facebook,1,0
1110,gente vcs twitter tao chato,1,0
838,triste twitter aparece negocio modo noturno,1,0
850,twitter falar sozinha outros gente alheia,0,1
1049,queria saber passando nesse twitter aqui,1,0
1074,nada melhor fazer vim aqui twitter falar sozinha,0,1
842,ver twitter fazer,0,1
376,amor viu tweets veio pergunta tava bem,0,1
107,twitter legal,1,0
784,vim twitter ver memes enem,0,1
1288,twitter parado,1,0
1039,descanso eibar,0,1
731,ficar longe twitter,1,0
1789,hora twitter deixar editar tweet,1,0
960,madrugada merda vamo twitter falar bosta,0,1
238,penso ficar postando twitter direto penso dnv desisto,1,0
118,bom ver faz twitter nessa noite,0,1
307,la je tweets,0,1
1224,tava faltando alheia pro twitter ficar animado novo,1,0
1254,tava twitter entrei verdade,1,0
751,twitter ver dps logo estudar tarde t,0,1
1452,twitter chato,1,0
1432,menos twitter porque,1,0
295,tweets pegar,0,1
1180,adoro twitter porque tempo ajuda caracteres,1,0
912,gosto twitter porque,1,0
204,twitter chato c bonner,1,0
1906,momento twitter deixar funcionar celular realmente ter trocar,1,0
487,pessoal queria redes sociais passar menos tempo meio,1,0
438,cu fazendo twitter ficar igual facebook porra,1,0
244,twitter novo ruim,1,0
609,amor deus twitter tl nada,1,0
0,pensar tweets legais facil,0,1
847,twitter ter site,0,1
482,imagina alguem twitter pessoa,0,1
1202,posto toda vida twitter fazer oq,0,1
738,nada dormir olhar twitter falar merda,0,1
336,conta tweets hoje acho,0,1
852,queria desse twitter falar mim,0,1
181,bom twitter deixa tweets outro,0,1
1079,twitter foda vi twitter puta sacanagem,1,0
1917,falta twitter ter deixar foto certo tempo tipo snap igual,1,0
727,estar vontade vir twitter ver,0,1
426,twitter dar mimimi foda,1,0
1160,quero excluir facebook twitter ficar celular quer,0,1
1003,pessoas twitter fazer mandar,0,1
1944,triste chega hora twitter mudar pro modo noturno fica,1,0
943,twitter pergunta oq acontecendo,1,0
633,deixa ir twitter falar fazendo,0,1
216,bom galera twitter,0,1
1482,nunca vi twitter parado igual hoje,1,0
812,caralho esqueci bom ficar falando nada nada twitter bom ser,1,0
459,snap twitter face insta whats tudo parado pqp,1,0
179,bom dia galera twitter,0,1
933,twitter pergunta acontecendo cmg,1,0
303,querido usar twitter querido twitter preciso desse coisa boa,1,0
676,twitter,1,0
2000,adorei twitter ter limite caracteres assim posso mandar mundo inteiro tweet,1,0
144,bom dia gente twitter direto,1,0
644,segunda vez vem twitter usar,0,1
41,twitter lindo,1,0
1171,david twitter antes twitter existir,0,1
1055,tentar explicar acordei madrugada vir aqui twitter saber,0,1
1427,gosto twitter porque falar sozinha tempo todo,1,0
246,bom dia twitter,0,1
1083,ser army apenas seguir twitter achar legais ser army madrugada causa c,0,1
1088,bom ver pessoa disse tava querendo chamar aqui twitter ficar querendo chama,0,1
1446,odeio escrever errado twitter porque ficar tudo erro desculpa mundo,1,0
1157,amo twitter porque posso ser,1,0
125,dizer bem falta tempo ficar aqui twitter,0,1
1237,fazia tanto tempo twitter porque tal aqui tao,1,0
1349,saudades quer,1,0
390,medo trocar header twitter dar bug novo,1,0
1203,coisa ta faltando pro twitter ficar colocar editar tweets kk,1,0
1590,vezes vejo twitter querido,1,0
1633,esqueci twitter,1,0
876,vem aqui twitter dar moral gente,0,1
251,twitter novo,1,0
1695,parece modo noturno deixa twitter lento,1,0
357,lembro seguia nesse site twitter novo,1,0
1824,normal twitter dar unfollow pessoas nada sozinho,1,0
1138,merda pessoas twitter fazer,0,1
1244,saudades twitter porque aqui posso falar sozinha,1,0
232,twitter bom menos acabou,1,0
610,app twitter funciona jeito,1,0
1366,bom desse twitter aqui pessoas escola sabem,1,0
469,twitter oficial kkkkk,0,1
937,ta hora twitter dar editar tweet,1,0
781,twitter quer pau ta mesma minutos parece,1,0
1813,ainda entender twitter apagar cmg,1,0
68,fazer twitter novo legal ainda usa,1,0
993,twitter parado vida,1,0
1962,deus twitter ter,1,0
1160,twitter,1,0
379,v bem coisa gente anda tweets escrever,0,1
196,bom dia twitter tudo bem,0,1
1964,aguento twitter ficar tudo posto,1,0
288,porque menos mil tweets mil seguidores segue,0,1
997,mexer celular manda tweet perguntando oque fazer pessoas twitter t,0,1
1157,ver meme falar merda,0,1
1463,twitter aqui nada,1,0
1422,twitter vez mostra ser melhor lugar internet memes,1,0
931,preparando psicologicamente paulo ver twitter ficar porque,0,1
636,twitter bugado,1,0
784,twitter quer deixar seguir assim volta sigo volta,1,0
522,chegando dias fotos twitter ficar parecendo,1,0
1380,twitter chato pqp,1,0
1708,dia twitter colocar editar tweet twitter ainda,1,0
1083,pode ser bug twitter porque vezes pessoa ter outra,1,0
1017,twitter aqui posso tudo penso tudo quero desabafar,1,0
1693,adoro twitter,1,0
272,amo tweets sonho acho,0,1
592,vim twitter ver fiquei feliz sozinha merda,0,1
145,bem tava achando twitter chato hoje,1,0
8,entrei twitter feliz vejo tag quer saber todo,1,0
1577,juro fazer uso forma twitter ninguem,1,0
1548,consigo twitter,1,0
1602,twitter amo deus,1,0
162,sempre assim fico usando twitter direto usar pouco volto usar direto dnv,1,0
459,fazem tweets ser,0,1
514,seguindo seguindo twitter pessoal segue dois mim favor,0,1
1106,twitter bugado nesse celular existe,1,0
573,abrir twitter ver fechar twitter abrir instagram ai vejo stories c,0,1
359,cada twitter legal,1,0
486,pro twitter ficar melhor colocar modo editar,1,0
1187,twitter travado saco,1,0
13,ai twitter chato,1,0
1547,twitter tumblr sei pessoa sigo quase,1,0
1794,pro twitter ficar trevas vc,1,0
379,ir twitter ver demais faz dois anos mano,1,0
904,fico sabem merda twitter fazer pa,0,1
1644,usa twitter chat,1,0
2012,esperando twitter falar tweets,1,0
757,desculpa twitter segue deveria ter mandando,1,0
1063,tentando voltar pro twitter porque melhor face,1,0
1418,sempre gostei twitter hoje ta,1,0
1786,fez twitter ficar dessa cor,1,0
1333,agora twitter usar,0,1
1055,parar facebook twitter aqui saco,1,0
1626,saudade twitter posso falar aqui,1,0
966,anos entrar twitter ver novo,1,0
251,bom dia chegou agora twitter,0,1
59,twitter novo demais,1,0
388,tweets bem bem twitter,0,1
963,sair pena vir aqui pro twitter dar muita risada internet perdoa zuera nunca kkk,1,0
913,nome jesus twitter ter pode ter,0,1
1074,nenhuma twitter aqui,1,0
1273,pena editar twitter porque muita coisa ia mudar,1,0
534,followers facil y,0,1
1881,sobre celular twitter ter ta tudo estranho,1,0
314,reclamar tweets unfollow logo aguento,0,1
1865,assim ficar tempo twitter ficar,1,0
962,nada globo fico entender ir twitter ver kkkkkkk,0,1
818,quero galera vim aqui twitter falar,0,1
440,saudades ter celular pegar twitter usar saco,1,0
256,menina seguir volta tweets sao olha bem cara,0,1
477,acho aplicativo twitter ficar lixo,1,0
999,acordei mal vim twitter ver tbm kkk,0,1
1999,adoro vir twitter falar merda porque ninguem usa,1,0
715,twitter,1,0
761,vindo twitter falar coisas olha,0,1
159,bom ganhar seguidores twitter,0,1
910,bom povo twitter ver quais,0,1
6,odeio errar tweet twitter maldito nunca editar tweet,1,0
125,twitter lindo jogo,1,0
182,bom dia twitter,0,1
708,porra twitter manda dm,1,0
1475,dia falo nada aqui twitter dia,1,0
1509,aqui usando twitter,1,0
391,dia td kk twitter face instagram,1,0
165,bom dia twitter haha,0,1
220,querido editar tweet,1,0
1046,acho sobre sentir favor,0,1
81,lendo tweets achando demais pode ser,0,1
1041,faz tempo twitter posto alguma coisa posto tentar ser,1,0
58,twitter novo dei fiz amo aqui,1,0
568,voltar usar twitter porque daqui internet,1,0
1957,sei twitter usar ai mds vcs,1,0
556,motivo real twitter ter tanta gente aqui facebook ta,0,1
703,quero twitter carrega,1,0
1260,obrigado abrir twitter ver tag dizendo melhor anime,0,1
261,certo dia twitter feliz,1,0
1049,daqui pouco pedir twitter fazer sobre tanto nessa rede social,0,1
1513,uso twitter meio desabafar whats amizade,1,0
1478,twitter morto credo,1,0
1173,twitter porque pc sempre agora,1,0
814,causa todo,0,1
1136,bem tava achando twitter chato hoje,1,0
1901,favor oq fiz pro twitter ficar assim,1,0
1025,twitter,1,0
384,toda vez vem twitter dar bug vc acaba amo vc,1,0
588,gosto twitter porque aqui fica fingindo feliz,1,0
1866,twitter ficar bom tempo entrar aqui,1,0
1544,falando twitter falando c coisas verdade mim msm,1,0
537,galera vir twitter falar bosta jesus,0,1
1012,whatsapp podia parar twitter ficar,0,1
1519,estar mt twitter antes,1,0
1371,sei usar twitter ser modo noturno,1,0
944,vejo hora twitter ficar,0,1
855,queria postar video pena twitter colabora,1,0
707,faz pessoa errado twitter fala,0,1
880,olhar twitter existir,0,1
1914,passando hora twitter ter editar olha,1,0
1246,twitter ficar twitter,0,1
976,sim mana vejo monte coisas maioria verdade corro twitter ver f,0,1
1761,deus twitter existir,1,0
1056,faz twitter ficar parar ficar cara,1,0
819,enquanto twitter editar tweet tudo,1,0
782,colocar twitter deixar conversar novo,0,1
1853,pro twitter ficar melhor falta editar tweet,1,0
455,fiquei sabendo bonner vim pro twitter ver memes,1,0
52,ai amo twitter oi twitter saudade twitter bom ver twitter,1,0
1014,dps wpp twitter ficar morto,0,1
20,twitter novo outro mundo,1,0
631,fica madrugada twitter deve mto claro entrar twitter sair twitter,0,1
194,ruim twitter novo fica tudo parado,1,0
318,tweets linda cara,0,1
340,tweets,0,1
1086,fico feliz poder desabafar aqui twitter porque outra rede bosta,1,0
1217,twitter vez ainda gosta,1,0
264,modo noturno twitter lindo d viver,1,0
868,ruim twitter ficar pode aqui todo mundo saber ai,0,1
776,sim mundo ter falar,0,1
1763,cansei twitter ficar bloqueando,1,0
1317,assim curso duas twitter,0,1
1898,sobre twitter ter bloqueado contas foda,1,0
566,existe coisa twitter ter conta ficar mandando qualquer,0,1
1159,queria parar twitter entrar ver tempo gosto sentir,0,1
579,twitter existe,1,0
1621,usar twitter cansada ser nesse,1,0
1783,antes twitter ter virado virado tumblr,1,0
300,tweets,0,1
48,twitter lindo msg feliz,1,0
8,tweets,0,1
803,twitter ta celular,1,0
1387,falar povo twitter,1,0
223,twitter novo poder falar outras coisas ser ia conseguir dois,1,0
585,nunca fiquei reclamando twitter twitter lugar melhor rede social,1,0
624,preciso tempo twitter fazer,0,1
701,twitter oficial falta twitter dar,0,1
1235,faltava twitter ficar merda,1,0
858,twitter ver,0,1
829,vez aqui twitter dando viver,1,0
455,ainda ta seguindo segue tweets cara seguir,0,1
809,dia twitter falar bem mim ficar,0,1
1872,bug chato twitter ficar,1,0
1368,deus fazer ainda,1,0
